Timestamp,Event,Instrument,Hit_Depth,Confidence
1765552470311,Hit,Kick,0,1.0
1765552471310,Hit,Boom,0,1.0
1765552472447,Hit,Boom,0,1.0
1765552472950,Hit,Boom,0,1.0
1765552473510,Hit,Boom,0,1.0
1765552474976,Hit,Boom,0,1.0
1765552475108,Hit,Boom,0,1.0
1765552475908,Hit,Boom,0,1.0
1765552476480,Hit,Kick,0,1.0
1765552476699,Hit,Kick,0,1.0
1765552477662,Hit,Kick,0,1.0
1765552477897,Hit,Kick,0,1.0
1765552480458,Hit,Kick,0,1.0
1765552482292,Hit,Kick,0,1.0
1765552484056,Hit,Kick,0,1.0
1765552486224,Hit,Boom,0,1.0
1765552486681,Hit,Boom,0,1.0
1765552487356,Hit,Kick,0,1.0
1765552487786,Hit,Kick,0,1.0
1765552488490,Hit,Kick,0,1.0
1765552489053,Hit,Kick,0,1.0
1765552500306,NoteOn,Piano_D,265.0,1.0
1765552500339,NoteOff,Piano_D,0,0
1765552500639,NoteOn,Piano_C,260.0,1.0
1765552500806,NoteOff,Piano_C,0,0
1765552501106,NoteOn,Piano_C,242.0,1.0
1765552501206,NoteOff,Piano_C,0,0
1765552501571,NoteOn,Piano_C,238.0,1.0
1765552502038,NoteOff,Piano_C,0,0
1765552502272,NoteOn,Piano_D,0.0,1.0
1765552502638,NoteOff,Piano_D,0,0
1765552502872,NoteOn,Piano_E,230.0,1.0
1765552503071,NoteOff,Piano_E,0,0
1765552503438,NoteOn,Piano_F,238.0,1.0
1765552503637,NoteOff,Piano_F,0,0
1765552503971,NoteOn,Piano_G,0.0,1.0
1765552504170,NoteOff,Piano_G,0,0
1765552504535,NoteOn,Piano_A,224.0,1.0
1765552504670,NoteOff,Piano_A,0,0
1765552504969,NoteOn,Piano_B,0.0,1.0
1765552505069,NoteOff,Piano_B,0,0
1765552506010,Hit,Tom,0,1.0
1765552506705,Hit,Boom,0,1.0
1765552507905,Hit,Kick,0,1.0
1765552508273,Hit,Boom,0,1.0
1765552509274,Hit,Kick,0,1.0
1765552510141,Hit,Boom,0,1.0
1765552511105,Hit,Boom,0,1.0
1765552511771,Hit,Tom,0,1.0
1765552516031,NoteOn,Piano_G,509.0,1.0
1765552516632,NoteOff,Piano_G,0,0
1765552517197,NoteOn,Piano_A,0.0,1.0
1765552517666,NoteOff,Piano_A,0,0
1765552518231,NoteOn,Piano_A,221.0,1.0
1765552518331,NoteOff,Piano_A,0,0
1765552518897,NoteOn,Piano_A,285.0,1.0
1765552519598,NoteOff,Piano_A,0,0
1765552519830,NoteOn,Piano_G,0.0,1.0
1765552519964,NoteOff,Piano_G,0,0
1765552520165,NoteOn,Piano_A,281.0,1.0
1765552520530,NoteOff,Piano_A,0,0
1765552520731,NoteOn,Piano_G,359.0,1.0
1765552520964,NoteOff,Piano_G,0,0
1765552521198,NoteOn,Piano_F,315.0,1.0
1765552521232,NoteOff,Piano_F,0,0
1765552521499,NoteOn,Piano_E,327.0,1.0
1765552521598,NoteOff,Piano_E,0,0
1765552521897,NoteOn,Piano_D,0.0,1.0
1765552522098,NoteOff,Piano_D,0,0
1765552522405,NoteOn,Piano_C,323.0,1.0
1765552522838,NoteOff,Piano_C,0,0
1765552523164,NoteOn,Piano_D,306.0,1.0
1765552523296,NoteOff,Piano_D,0,0
1765552523863,NoteOn,Piano_E,269.0,1.0
1765552524131,NoteOff,Piano_E,0,0
1765552524364,NoteOn,Piano_F,0.0,1.0
1765552524763,NoteOff,Piano_F,0,0
1765552544526,NoteOn,Piano_F,0.0,1.0
1765552545595,NoteOff,Piano_F,0,0
1765552546628,NoteOn,Piano_G,254.0,1.0
1765552547294,NoteOff,Piano_G,0,0
1765552548061,NoteOn,Piano_A,265.0,1.0
1765552548727,NoteOff,Piano_A,0,0
1765552553960,NoteOn,Piano_B,0.0,1.0
1765552553992,NoteOff,Piano_B,0,0
1765552559025,NoteOn,Piano_A,0.0,1.0
1765552559592,NoteOff,Piano_A,0,0
1765552560292,NoteOn,Piano_G,0.0,1.0
1765552560492,NoteOff,Piano_G,0,0
1765552561292,NoteOn,Piano_F,0.0,1.0
1765552561325,NoteOff,Piano_F,0,0
1765552564893,NoteOn,Piano_G,0.0,1.0
1765552564961,NoteOff,Piano_G,0,0
1765552575556,NoteOn,Piano_A,0.0,1.0
1765552575890,NoteOff,Piano_A,0,0
1765552576089,NoteOn,Piano_A,0.0,1.0
1765552576324,NoteOff,Piano_A,0,0
1765552576655,NoteOn,Piano_G,0.0,1.0
1765552576689,NoteOff,Piano_G,0,0
1765552578022,NoteOn,Piano_G,0.0,1.0
1765552578056,NoteOff,Piano_G,0,0
1765552582055,NoteOn,Piano_G,0.0,1.0
1765552582155,NoteOff,Piano_G,0,0
1765552582523,NoteOn,Piano_G,0.0,1.0
1765552582656,NoteOff,Piano_G,0,0
1765552583122,NoteOn,Piano_G,0.0,1.0
1765552583356,NoteOff,Piano_G,0,0
1765552589821,NoteOn,Piano_A,0.0,1.0
1765552590455,NoteOff,Piano_A,0,0
1765552591293,NoteOn,Piano_G,0.0,1.0
1765552591487,NoteOff,Piano_G,0,0
1765552592354,NoteOn,Piano_F,0.0,1.0
1765552592490,NoteOff,Piano_F,0,0
1765552619098,Hit,Boom,0,1.0
1765552619698,Hit,Boom,0,1.0
1765552623592,Hit,Boom,0,1.0
1765552624724,Hit,Boom,0,1.0
1765552626559,Hit,Kick,0,1.0
1765552626817,Hit,Kick,0,1.0
1765552627225,Hit,Kick,0,1.0
1765552628655,Hit,Kick,0,1.0
1765552638254,Hit,Boom,0,1.0
1765552638722,Hit,Boom,0,1.0
1765552663262,Hit,Boom,0,1.0
1765552663930,Hit,Boom,0,1.0
1765552664367,Hit,Boom,0,1.0
1765552664728,Hit,Boom,0,1.0
1765552665366,Hit,Boom,0,1.0
1765552665497,Hit,Boom,0,1.0
1765552665764,Hit,Boom,0,1.0
1765552667230,Hit,Boom,0,1.0
1765552667459,Hit,Boom,0,1.0
1765552667831,Hit,Boom,0,1.0
1765552668631,Hit,Boom,0,1.0
1765552674549,Hit,Kick,0,1.0
1765552675184,Hit,Boom,0,1.0
1765552676585,Hit,Kick,0,1.0
1765552678118,Hit,Kick,0,1.0
1765552679218,Hit,Kick,0,1.0
1765552680618,Hit,Boom,0,1.0
1765552681858,Hit,Boom,0,1.0
1765552682275,Hit,Boom,0,1.0
1765552683484,Hit,Kick,0,1.0
1765552684415,Hit,Kick,0,1.0
1765552685749,Hit,Kick,0,1.0
1765552688012,Hit,Kick,0,1.0
1765552688150,Hit,Kick,0,1.0
1765552688681,Hit,Kick,0,1.0
1765552688852,Hit,Kick,0,1.0
1765552689257,Hit,Boom,0,1.0
1765552689805,Hit,Boom,0,1.0
1765552690453,Hit,Boom,0,1.0
1765552691479,Hit,Boom,0,1.0
1765552692514,Hit,Boom,0,1.0
1765552711072,NoteOn,Piano_F,0.0,1.0
1765552711200,NoteOff,Piano_F,0,0
1765552711472,NoteOn,Piano_E,0.0,1.0
1765552711605,NoteOff,Piano_E,0,0
1765552712578,NoteOn,Piano_F,0.0,1.0
1765552713198,NoteOff,Piano_F,0,0
1765552713512,NoteOn,Piano_A,0.0,1.0
1765552713704,NoteOff,Piano_A,0,0
1765552713905,NoteOn,Piano_G,0.0,1.0
1765552714038,NoteOff,Piano_G,0,0
1765552716603,NoteOn,Piano_G,0.0,1.0
1765552716669,NoteOff,Piano_G,0,0
1765552716904,NoteOn,Piano_G,0.0,1.0
1765552717403,NoteOff,Piano_G,0,0
1765552718604,NoteOn,Piano_A,0.0,1.0
1765552718636,NoteOff,Piano_A,0,0
1765552718969,NoteOn,Piano_A,0.0,1.0
1765552719638,NoteOff,Piano_A,0,0
1765552720004,NoteOn,Piano_B,271.0,1.0
1765552720037,NoteOff,Piano_B,0,0
1765552720302,NoteOn,Piano_B,270.0,1.0
1765552720569,NoteOff,Piano_B,0,0
1765552721370,NoteOn,Piano_G,0.0,1.0
1765552721438,NoteOff,Piano_G,0,0
1765552722270,NoteOn,Piano_F,0.0,1.0
1765552722538,NoteOff,Piano_F,0,0
1765552723537,NoteOn,Piano_F,0.0,1.0
1765552723570,NoteOff,Piano_F,0,0
1765552723936,NoteOn,Piano_F,0.0,1.0
1765552724302,NoteOff,Piano_F,0,0
1765552724703,NoteOn,Piano_E,0.0,1.0
1765552725569,NoteOff,Piano_E,0,0
1765552726769,NoteOn,Piano_D,0.0,1.0
1765552727570,NoteOff,Piano_D,0,0
1765552728204,NoteOn,Piano_E,0.0,1.0
1765552728302,NoteOff,Piano_E,0,0
1765552728668,NoteOn,Piano_E,0.0,1.0
1765552729237,NoteOff,Piano_E,0,0
1765552729668,NoteOn,Piano_F,0.0,1.0
1765552730135,NoteOff,Piano_F,0,0
1765552731004,NoteOn,Piano_C,0.0,1.0
1765552731671,NoteOff,Piano_C,0,0
1765552733742,NoteOn,Piano_G,0.0,1.0
1765552733774,NoteOff,Piano_G,0,0
1765552734307,NoteOn,Piano_A,258.0,1.0
1765552734341,NoteOff,Piano_A,0,0
1765552736005,NoteOn,Piano_F,0.0,1.0
1765552736039,NoteOff,Piano_F,0,0
1765552736305,NoteOn,Piano_F,0.0,1.0
1765552736405,NoteOff,Piano_F,0,0
1765552736641,NoteOn,Piano_F,238.0,1.0
1765552736938,NoteOff,Piano_F,0,0
1765552737212,NoteOn,Piano_G,247.0,1.0
1765552737871,NoteOff,Piano_G,0,0
1765552738606,NoteOn,Piano_G,0.0,1.0
1765552738905,NoteOff,Piano_G,0,0
1765552741801,NoteOn,Piano_A,0.0,1.0
1765552741871,NoteOff,Piano_A,0,0
1765552742135,NoteOn,Piano_B,0.0,1.0
1765552742466,NoteOff,Piano_B,0,0
1765552742767,NoteOn,Piano_B,0.0,1.0
1765552743101,NoteOff,Piano_B,0,0
1765552743601,NoteOn,Piano_A,244.0,1.0
1765552743700,NoteOff,Piano_A,0,0
1765552743967,NoteOn,Piano_A,246.0,1.0
1765552744100,NoteOff,Piano_A,0,0
1765552746396,NoteOn,Piano_C,0.0,1.0
1765552746527,NoteOff,Piano_C,0,0
1765552747763,NoteOn,Piano_C,0.0,1.0
1765552748027,NoteOff,Piano_C,0,0
1765552748297,NoteOn,Piano_C,0.0,1.0
1765552748400,NoteOff,Piano_C,0,0
1765552748633,NoteOn,Piano_D,0.0,1.0
1765552748674,NoteOff,Piano_D,0,0
1765552750234,NoteOn,Piano_E,0.0,1.0
1765552750299,NoteOff,Piano_E,0,0
1765552751032,NoteOn,Piano_E,0.0,1.0
1765552751464,NoteOff,Piano_E,0,0
1765552751931,NoteOn,Piano_G,0.0,1.0
1765552752565,NoteOff,Piano_G,0,0
1765552752766,NoteOn,Piano_G,198.0,1.0
1765552753165,NoteOff,Piano_G,0,0
1765552754099,NoteOn,Piano_F,222.0,1.0
1765552754799,NoteOff,Piano_F,0,0
1765552765966,NoteOn,Piano_A,246.0,1.0
1765552767030,NoteOff,Piano_A,0,0
1765552767229,NoteOn,Piano_A,247.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765553525637,NoteOn,Piano_B,245.0,1.0
1765553526136,NoteOff,Piano_B,0,0
1765553532369,NoteOn,Piano_B,242.0,1.0
1765553532499,NoteOff,Piano_B,0,0
1765553532968,NoteOn,Piano_B,250.0,1.0
1765553534271,NoteOff,Piano_B,0,0
1765553535010,NoteOn,Piano_A,291.0,1.0
1765553535537,NoteOff,Piano_A,0,0
1765553536145,NoteOn,Piano_G,0.0,1.0
1765553536430,NoteOff,Piano_G,0,0
1765553537003,NoteOn,Piano_F,313.0,1.0
1765553537603,NoteOff,Piano_F,0,0
1765553538160,NoteOn,Piano_F,364.0,1.0
1765553538406,NoteOff,Piano_F,0,0
1765553541620,NoteOn,Piano_B,258.0,1.0
1765553542122,NoteOff,Piano_B,0,0
1765553543054,NoteOn,Piano_B,258.0,1.0
1765553549172,Hit,Boom,0,1.0
1765553549913,Hit,Boom,0,1.0
1765553550438,Hit,Boom,0,1.0
1765553550940,Hit,Boom,0,1.0
1765553552572,Hit,Kick,0,1.0
1765553553073,Hit,Boom,0,1.0
1765553555141,Hit,Kick,0,1.0
1765553556506,Hit,Kick,0,1.0
1765553558874,Hit,Boom,0,1.0
1765553559504,Hit,Boom,0,1.0
1765553560141,Hit,Kick,0,1.0
1765553560703,Hit,Kick,0,1.0
1765553561237,Hit,Kick,0,1.0
1765553561771,Hit,Kick,0,1.0
1765553563303,Hit,Boom,0,1.0
1765553563503,Hit,Boom,0,1.0
1765553563772,Hit,Boom,0,1.0
1765553564071,Hit,Boom,0,1.0
1765553564739,Hit,Boom,0,1.0
1765553565672,Hit,Kick,0,1.0
1765553565904,Hit,Kick,0,1.0
1765553567872,Hit,Kick,0,1.0
1765553569405,Hit,Kick,0,1.0
1765553570835,Hit,Boom,0,1.0
1765553572071,Hit,Boom,0,1.0
1765553575172,NoteOff,Piano_B,0,0
1765553575362,NoteOn,Piano_B,252.0,1.0
1765553576931,NoteOff,Piano_B,0,0
1765553577431,NoteOn,Piano_B,250.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765553747788,NoteOn,Piano_A,262.0,1.0
1765553759936,NoteOff,Piano_A,0,0
1765553760093,NoteOn,Piano_B,0.0,1.0
1765553760225,NoteOff,Piano_B,0,0
1765553760792,NoteOn,Piano_B,245.0,1.0
1765553760993,NoteOff,Piano_B,0,0
1765553761656,NoteOn,Piano_A,259.0,1.0
1765553762355,NoteOff,Piano_A,0,0
1765553765571,Hit,Tom,0,1.0
1765553766194,Hit,Boom,0,1.0
1765553766592,Hit,Tom,0,1.0
1765553767392,Hit,Boom,0,1.0
1765553767927,Hit,Tom,0,1.0
1765553768193,Hit,Tom,0,1.0
1765553768562,Hit,Boom,0,1.0
1765553769028,Hit,Tom,0,1.0
1765553769591,Hit,Kick,0,1.0
1765553769827,Hit,Kick,0,1.0
1765553770524,Hit,Boom,0,1.0
1765553771059,Hit,Tom,0,1.0
1765553771563,Hit,Boom,0,1.0
1765553771990,Hit,Kick,0,1.0
1765553772094,Hit,Kick,0,1.0
1765553773055,Hit,Tom,0,1.0
1765553773789,Hit,Tom,0,1.0
1765553774423,Hit,Boom,0,1.0
1765553774588,Hit,Boom,0,1.0
1765553774692,Hit,Boom,0,1.0
1765553774824,Hit,Boom,0,1.0
1765553775091,Hit,Kick,0,1.0
1765553775758,Hit,Boom,0,1.0
1765553776054,Hit,Boom,0,1.0
1765553776490,Hit,Kick,0,1.0
1765553776855,Hit,Boom,0,1.0
1765553776955,Hit,Boom,0,1.0
1765553777156,Hit,Boom,0,1.0
1765553777520,Hit,Kick,0,1.0
1765553777786,Hit,Boom,0,1.0
1765553778088,Hit,Kick,0,1.0
1765553778186,Hit,Boom,0,1.0
1765553778287,Hit,Boom,0,1.0
1765553778422,Hit,Kick,0,1.0
1765553778518,Hit,Boom,0,1.0
1765553779052,Hit,Kick,0,1.0
1765553779895,Hit,Tom,0,1.0
1765553780250,Hit,Boom,0,1.0
1765553780621,Hit,Kick,0,1.0
1765553780716,Hit,Boom,0,1.0
1765553780785,Hit,Tom,0,1.0
1765553781020,Hit,Kick,0,1.0
1765553781118,Hit,Boom,0,1.0
1765553781220,Hit,Tom,0,1.0
1765553781420,Hit,Kick,0,1.0
1765553781650,Hit,Tom,0,1.0
1765553781951,Hit,Boom,0,1.0
1765553782443,Hit,Tom,0,1.0
1765553782608,Hit,Kick,0,1.0
1765553782842,Hit,Tom,0,1.0
1765553783041,Hit,Kick,0,1.0
1765553784138,Hit,Tom,0,1.0
1765553784643,Hit,Boom,0,1.0
1765553784842,Hit,Boom,0,1.0
1765553785005,Hit,Boom,0,1.0
1765553785109,Hit,Boom,0,1.0
1765553785775,Hit,Tom,0,1.0
1765553786339,Hit,Tom,0,1.0
1765553787604,Hit,Kick,0,1.0
1765553787937,Hit,Kick,0,1.0
1765553788175,Hit,Boom,0,1.0
1765553788338,Hit,Boom,0,1.0
1765553789004,Hit,Tom,0,1.0
1765553790308,Hit,Tom,0,1.0
1765553791240,Hit,Tom,0,1.0
1765553792442,Hit,Kick,0,1.0
1765553792907,Hit,Kick,0,1.0
1765553793138,Hit,Boom,0,1.0
1765553793973,Hit,Tom,0,1.0
1765553795337,Hit,Boom,0,1.0
1765553795871,Hit,Kick,0,1.0
1765553796173,Hit,Boom,0,1.0
1765553796505,Hit,Kick,0,1.0
1765553796774,Hit,Boom,0,1.0
1765553797148,Hit,Kick,0,1.0
1765553797407,Hit,Boom,0,1.0
1765553798341,Hit,Kick,0,1.0
1765553798808,Hit,Boom,0,1.0
1765553799338,Hit,Kick,0,1.0
1765553799636,Hit,Boom,0,1.0
1765553800073,Hit,Kick,0,1.0
1765553800436,Hit,Boom,0,1.0
1765553801738,Hit,Kick,0,1.0
1765553802764,NoteOn,Piano_A,261.0,1.0
1765553804498,NoteOff,Piano_A,0,0
1765553805431,NoteOn,Piano_A,256.0,1.0
1765553806497,NoteOff,Piano_A,0,0
1765553807931,NoteOn,Piano_A,275.0,1.0
1765553808431,NoteOff,Piano_A,0,0
1765553808897,NoteOn,Piano_B,247.0,1.0
1765553809297,NoteOff,Piano_B,0,0
1765553809529,NoteOn,Piano_A,249.0,1.0
1765553809629,NoteOff,Piano_A,0,0
1765553810031,NoteOn,Piano_B,250.0,1.0
1765553810296,NoteOff,Piano_B,0,0
1765553811096,NoteOn,Piano_A,282.0,1.0
1765553811229,NoteOff,Piano_A,0,0
1765553811697,NoteOn,Piano_B,0.0,1.0
1765553815499,NoteOff,Piano_B,0,0
1765553815996,NoteOn,Piano_A,281.0,1.0
1765553816496,NoteOff,Piano_A,0,0
1765553820729,NoteOn,Piano_B,415.0,1.0
1765553820895,NoteOff,Piano_B,0,0
1765553822897,NoteOn,Piano_A,224.0,1.0
1765553823027,NoteOff,Piano_A,0,0
1765553823329,NoteOn,Piano_B,228.0,1.0
1765553824194,NoteOff,Piano_B,0,0
1765553824427,NoteOn,Piano_A,226.0,1.0
1765553824929,NoteOff,Piano_A,0,0
1765553825131,NoteOn,Piano_G,0.0,1.0
1765553825228,NoteOff,Piano_G,0,0
1765553825796,NoteOn,Piano_G,222.0,1.0
1765553826328,NoteOff,Piano_G,0,0
1765553826560,NoteOn,Piano_F,0.0,1.0
1765553827027,NoteOff,Piano_F,0,0
1765553827227,NoteOn,Piano_E,0.0,1.0
1765553827661,NoteOff,Piano_E,0,0
1765553827894,NoteOn,Piano_D,0.0,1.0
1765553828328,NoteOff,Piano_D,0,0
